job_title,company_name,location,summary,salary,clean_address,commute,distance_km
Junior Research Analyst,Sinclair Broadcast Group,"Santa Monica, CA","Aid in analysis and storytelling using qualitative and quantitative data gathered using Nielsen, Ipsos, comScore, MRI and other data sources....",Nothing_found,"Sinclair Broadcast Group Santa Monica, CA",37.7666666667,35.998
Sr. Data Scientist - (relo to LA),Taboola,"Los Angeles, CA","Experience in collecting data from/exposing data to various data sources and services (API, JSON, XML)....",Nothing_found,"Taboola Los Angeles, CA",62.2333333333,66.537
Sr. Data Scientist,Taboola,"Los Angeles, CA","Experience in collecting data from/exposing data to various data sources and services (API, JSON, XML)....",Nothing_found,"Taboola Los Angeles, CA",28.3,33.947
Sr. Data Scientist,tronc,"Los Angeles, CA",As a data scientist at tronc you will have the chance to develop data models from our rich news content that are viewed and read by nearly 100 million people a...,Nothing_found,"tronc Los Angeles, CA",39.4333333333,40.338
Data Engineer,Classy,"Los Angeles, CA","Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse...",Nothing_found,"Classy Los Angeles, CA",41.8666666667,46.071
Junior Financial Analyst,BuzzFeed,"Los Angeles, CA 90036","We have offices in 19 cities around the world and more than 1500 employees including reporters, video producers, data scientists, engineers, brand strategists,...",Nothing_found,"BuzzFeed Los Angeles, CA 90036",52.45,44.02
Senior Data Scientist,Classy,"Los Angeles, CA",We’re looking for a data scientist who is a self-starter and has experience driving their own data science project....,Nothing_found,"Classy Los Angeles, CA",41.8666666667,46.071
Research Scientist,USC,"Playa Vista, CA",Analyzes research data and provides interpretations. The opening is for a Research Scientist (with opportunity to become Research Assistant Professor in...,Nothing_found,"USC Playa Vista, CA",32.2833333333,34.538
Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA","Scientific Modelers, together with Data Scientists, Data Engineers and Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are...",Nothing_found,"The Boston Consulting Group Los Angeles, CA",19.9,18.703
Sr. Data Scientist,SpaceX,"Hawthorne, CA","Perform exploratory data analysis, extract data from various sources, clean and aggregate data. The Data Science team is a new team in the Enterprise Data...",Nothing_found,"SpaceX Hawthorne, CA",52.5833333333,44.02
"Quantitative Analyst, Health Research Microsimulation",USC,"Los Angeles, CA","Manages large data files. Experience with large administrative databases, survey data, claims data, electronic health records data Demonstrated creativity and...",Nothing_found,"USC Los Angeles, CA",36.5666666667,41.729
Scientist,Exponent,"Los Angeles, CA 90066","Providing case management, data processing, and other project support; Exponent's Human Factors Practice is seeking a Scientist for our Los Angeles, CA office....",Nothing_found,"Exponent Los Angeles, CA 90066",41.8666666667,46.071
Postdoctoral Scientist (MRI research),CEDARS-SINAI,"Los Angeles, CA",The Cedars-Sinai Biomedical Imaging Research Institute is seeking a Postdoctoral Scientist to join Dr. Design novel acquisition and reconstruction techniques to...,Nothing_found,"CEDARS-SINAI Los Angeles, CA",39.9166666667,38.794
Research and Data Processing Analyst,Los Angeles Universal Preschool,"Los Angeles, CA","Coordinate, conduct, and oversee data collection, data entry and data cleaning and ensure quality control (e.g., surveys, direct assessment, observations,...",Nothing_found,"Los Angeles Universal Preschool Los Angeles, CA",569.033333333,1035.996
Market Research Analyst,Rently,"Los Angeles, CA 90035",Rently.com's technology allows property managers to facilitate renter and vendor access without having to send a leasing agent out to the property. This is...,Nothing_found,"Rently Los Angeles, CA 90035",37.1333333333,42.014
Research Analyst,DCS Corp,"Los Angeles, CA",Perform human subject’s data collection. Develop protocol manuals and data collection instruments; This Research Analyst position will support and oversee...,Nothing_found,"DCS Corp Los Angeles, CA",50.3666666667,63.468
Research Analyst,BGC Partners,"Los Angeles, CA","Maintains the integrity of market data used in the research function, which includes overseeing data collection, data input/verification, and review....",Nothing_found,"BGC Partners Los Angeles, CA",17.5,16.859
Learning Data Scientist,Age of Learning,"Glendale, CA 91203","Data Flow and Analysis. Facility in designing data structures to capture a consistent, scalable schema of data across digital learning contexts;...",Nothing_found,"Age of Learning Glendale, CA 91203",40.0666666667,38.794
Staff Data Scientist,Intuit,"Woodland Hills, CA 91371",Intuit is looking for innovative and hands-on data scientists for the Global Risk and Compliance Decision Sciences team....,Nothing_found,"Intuit Woodland Hills, CA 91371",28.65,37.058
Senior Data Scientist,BCG Digital Ventures,"Manhattan Beach, CA","Big Data and Fast Data (i.e.:. Build innovative data products (e.g., Artificial Intelligence, real-time services, such as personalization and commerce graphing...",Nothing_found,"BCG Digital Ventures Manhattan Beach, CA",30.8,33.76
Senior NLP Data Scientist,Capital Group,"Los Angeles, CA 90071","Based in Irvine or Los Angeles, as a Senior Data Scientist, you will be experienced with and passionate about using data to drive business strategy, tactical...",Nothing_found,"Capital Group Los Angeles, CA 90071",38.6166666667,44.766
Research Analyst,GoodRx,"Santa Monica, CA",Organizing data analysis on GoodRx data for Research reports and analysis. Working with multiple teams within the organization to analyze complex business data....,Nothing_found,"GoodRx Santa Monica, CA",182.2,274.508
Research Scientist,EcoSense Lighting,"Los Angeles, CA 90017","We are seeking a Research Scientist with significant experience in machine learning, machine vision, natural language processing and spatial data....",Nothing_found,"EcoSense Lighting Los Angeles, CA 90017",53.75,44.02
Market Research Analyst (Corporate and Political),Benenson Strategy Group,"Santa Monica, CA","They are creative, intellectually curious, and have an interest in translating data into actionable insights....",Nothing_found,"Benenson Strategy Group Santa Monica, CA",61.1833333333,69.536
"Senior Analyst, Research & Analytics",Sony Pictures Entertainment Inc.,"Culver City, CA 90232","Must be numerate, have ability to analyze audience research data and comfortable with large data sets. Strong Excel, data visualization and PPT skills required....",Nothing_found,"Sony Pictures Entertainment Inc. Culver City, CA 90232",39.65,37.278
Data Engineer (Scala),HIRECLOUT,"Los Angeles, CA","You will work closely with other platform engineers, product stakeholders, and data scientists. Data Engineer (All Levels)....",Nothing_found,"HIRECLOUT Los Angeles, CA",40.2666666667,38.794
Scientist I,Columbus Technologies and Services,"Pasadena, CA",Must be a US Citizen 4 month contract position W2 with full benefits Must be able to pass background check and drug screen == Job Description: To help...,Nothing_found,"Columbus Technologies and Services Pasadena, CA",43.9333333333,38.755
MS Expert Data Analytics Scientist - Business Intelligence,Allscripts,"Whittier, CA","Recommend methods to collect, analyse and manage data to improve data quality and effectiveness of data systems....",Nothing_found,"Allscripts Whittier, CA",40.45,38.794
Research Analyst,MDRC,"Los Angeles, CA","Disseminate results to policymakers, practitioners, and social scientists. Travel to research sites to work with staff and to collect and analyze quantitative...",Nothing_found,"MDRC Los Angeles, CA",48.2,50.948
Environmental Scientist,Cunningham Lindsey,"Los Angeles, CA 90045",Interpret field data and laboratory results. Summarizes data from field samples and laboratory result and writes reports relating appropriate information...,Nothing_found,"Cunningham Lindsey Los Angeles, CA 90045",49.5166666667,60.824
"RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,"Los Angeles, CA","Research experience working with Statistical Analysis Software (SAS) package, Microsoft ACCESS, and Microsoft Excel to import/export, manage large data sets...",Nothing_found,"Los Angeles County Department of Human Resources Los Angeles, CA",39.9166666667,37.278
Financial Data Scientist,Verity Business Services,"Los Angeles, CA",The primary function of the data scientist is to automate current manual financial and operational reporting....,Nothing_found,"Verity Business Services Los Angeles, CA",39.9166666667,37.278
Senior Data Scientist,Grindr,"Los Angeles, CA 90046",Experience building real-time data pipelines within high volume data environments. We have embedded analysts on the team - the Senior Data Scientist will be the...,Nothing_found,"Grindr Los Angeles, CA 90046",39.9333333333,37.278
Technical Data Analyst,Riot Games,"Los Angeles, CA","Collaborate with analysts and data scientists as a front line contact for Big Data to help them extract even more value from data, and to help the engineers set...",Nothing_found,"Riot Games Los Angeles, CA",39.9166666667,37.278
Data Platform Engineer,Tala,"Santa Monica, CA","Mentor engineers, data scientists, and analysts on best practices and code efficiency. Develop and deploy platforms, services, abstractions, and frameworks that...",Nothing_found,"Tala Santa Monica, CA",40.1,37.278
Senior Data Scientist,Spokeo,"Pasadena, CA","Spokeo is seeking a Senior Data Scientist to join us in Pasadena, CA. As a Senior Data Scientist, you would have high visibility and opportunity to analyze and...",Nothing_found,"Spokeo Pasadena, CA",37.8666666667,37.668
Senior Statistician,UCLA HEALTH,"Westwood, CA","Demonstrated ability to use Microsoft Excel, SAS and/or STATA (statistical software), which includes data access, data retrieval, data management, data analysis...",Nothing_found,"UCLA HEALTH Westwood, CA",40.6333333333,38.794
Data Engineer,Retention Science,"Santa Monica, CA 90405",We are looking for passionate data engineers to scale out our platform and collaborate with data scientists to implement and improve our machine learning models...,Nothing_found,"Retention Science Santa Monica, CA 90405",31.7833333333,29.2
Senior Data Scientist – Machine Learning,Internet Brands,"Los Angeles, CA",4+ years in a Data Scientist role. Is currently seeking a Senior Data Scientist – Machine Learning who will help us discover the information hidden in vast...,Nothing_found,"Internet Brands Los Angeles, CA",36.9666666667,41.729
Research Analyst,SEIU United Healthcare Workers - West,"Los Angeles, CA","Position: Research Analyst Classification: Full-time, Exempt Position Summary : Our Research Department is responsible for providing strategic support for...",Nothing_found,"SEIU United Healthcare Workers - West Los Angeles, CA",56.0833333333,44.621
Vice President of Data Science,Futuredontics,"Los Angeles, CA 90045","We’re in pursuit of a data scientist / statistician to be part of our senior leadership team. Master’s-level degree or higher in Statistics, Machine Learning,...",Nothing_found,"Futuredontics Los Angeles, CA 90045",64.9,90.34
Data Scientist - IMT,Azusa Pacific University,"Azusa, CA","Data warehouse or data mart. Advanced data analysis skills. Data modeling, preferably for a higher education institution....",Nothing_found,"Azusa Pacific University Azusa, CA",56.1,44.621
Software Engineer II - Machine Learning,Jet Propulsion Laboratory,"Pasadena, CA","Geospatial / space-based data, Natural Language Processing. Sklearn, scipy, Apache Big Data suite, openCV. Scientists, operations, decision makers and society...",Nothing_found,"Jet Propulsion Laboratory Pasadena, CA",33.2666666667,31.93
Market Research Analyst,Kantar Millward Brown,"Los Angeles, CA","Craft compelling stories, working with your account lead to translate data into insights that address key client business issues....",Nothing_found,"Kantar Millward Brown Los Angeles, CA",56.1,44.621
Research Associate I (cancer and immunology),Sanford Burnham Prebys Medical Discovery Institute,"Los Angeles, CA","Work with a team of scientists to plan, execute and interpret protein production protocols, biophysical experiments, use of software to use structural data to...",Nothing_found,"Sanford Burnham Prebys Medical Discovery Institute Los Angeles, CA",31.5666666667,38.72
Deep Learning Scientist,Oben,"Pasadena, CA","Deep Learning Scientist. As a member of the deep learning team, you will design and develop deep learning algorithms for image recognition/retrieval/detection...",Nothing_found,"Oben Pasadena, CA",34.8333333333,43.842
Business Intelligence & Analytics Undergraduate Intern,The Aerospace Corporation,"El Segundo, CA 90245","Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Tasks may include design, coding, and configuration, for...",Nothing_found,"The Aerospace Corporation El Segundo, CA 90245",29.1333333333,40.595
ISC - Data Scientist,Ipsos North America,"Culver City, CA","As a Data Scientist, you will:. Experience in analytics, extracting and surfacing value from quantitative data....",Nothing_found,"Ipsos North America Culver City, CA",32.2,37.891
Part Time Data Science Instructor,General Assembly,"Santa Monica, CA","Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",Nothing_found,"General Assembly Santa Monica, CA",29.7666666667,37.53
Principal Data Scientist,System1,"Venice, CA",System1 is an organization centered around data and data products. System1 is hiring a Principal Data Scientist!...,Nothing_found,"System1 Venice, CA",39.1,52.836
Assessment Scientist,KORNFERRY,"Los Angeles, CA",Great at gleaning meaning from whatever data is available; Comfortable speculating about alternative futures without all of the data....,Nothing_found,"KORNFERRY Los Angeles, CA",37.6166666667,45.335
"VP, Analytics/Modeling",Blackwood Seven,"Los Angeles, CA","Expert in Machine Learning, Data Mining, Predictive Modeling, Big Data. Mentor and manage a team of Data Scientists, Senior Analysts and Analysts....",Nothing_found,"Blackwood Seven Los Angeles, CA",28.9,37.058
Project Scientist,CEDARS-SINAI,"Los Angeles, CA","Analyzes, interprets, summarizes and compiles data. Working independently but in close cooperation and in consultation with the Principal Investigator and other...",Nothing_found,"CEDARS-SINAI Los Angeles, CA",37.6166666667,45.335
Data Scientist / Senior Data Scientist,OpenX,"Pasadena, CA",Senior Data Scientist:. OpenX seeks a Data Scientist / Senior Data Scientist to be responsible for executing critical R&D projects on a petabyte-scale dataset....,Nothing_found,"OpenX Pasadena, CA",28.9,37.058
Data Scientist,CyberCoders,"West Hollywood, CA 90038","Data Scientist Are you a Data Scientist with a Ph.D. (e.g., as a statistician / data scientist / computational biologist / bioinformatician)....","$100,000 - $250,000 a year","CyberCoders West Hollywood, CA 90038",26.35,30.584
Senior Data Scientist,Dex YP,"Santa Monica, CA","Knowledge of NoSQL and Big Data. Knowledge of NoSQL, Hadoop and Big Data in general. Location - Virtual – CA preferred, but open to anywhere in the US....",Nothing_found,"Dex YP Santa Monica, CA",132.233333333,195.198
Data Science Advisor - Energy Procurement,Southern California Edison,"Rosemead, CA","In-depth understanding of data analytics, data engineering, and data management processes. Develop procedures and data pipelines to extract and prepare large...",Nothing_found,"Southern California Edison Rosemead, CA",22.75,25.274
Data Science Advisor - Energy Procurement,Edison International,"Rosemead, CA","In-depth understanding of data analytics, data engineering, and data management processes. Develop procedures and data pipelines to extract and prepare large...",Nothing_found,"Edison International Rosemead, CA",57.85,43.425
Scientific Writer I,Public Health Institute,"Monrovia, CA 91016",Assists the Research Coordinator in the development of the Data and Specimen Submission Schedule to ensure the specific requirements of the protocols as...,Nothing_found,"Public Health Institute Monrovia, CA 91016",29.7166666667,36.514
Machine Learning Scientist with Audio DSP background,Oben,"Pasadena, CA","Define data needs, evaluate data quality, perform and critique appropriate statistical analyses using software such as R, Python, SAS, MATLAB, and/or Splus....",Nothing_found,"Oben Pasadena, CA",320.733333333,587.31
Grants Research Analyst,eCivis,"Pasadena, CA 91103","Grants Research Analyst (Pasadena, CA) eCivis, the market leader in providing web-based grants research and management solutions to local governments ...",Nothing_found,"eCivis Pasadena, CA 91103",57.3833333333,54.455
Research Analyst,Athgo International,"Sherman Oaks, CA",The position requires quantitative and qualitative data analysis and reporting skills. The Research Analyst is responsible for designing and conducting analyses...,Nothing_found,"Athgo International Sherman Oaks, CA",57.5333333333,54.455
Sr. Specialist – Data Science,Sapient Global Markets,"Los Angeles, CA",Should be able to guide and direct a team of junior data scientists and data analysts. Understanding of data visualization patterns....,Nothing_found,"Sapient Global Markets Los Angeles, CA",43.5666666667,46.847
Postdoctoral Scientist,CEDARS-SINAI,"Los Angeles, CA","Analyzes and interprets data. The Postdoctoral Scientist will work in Dr. The Postdoctoral Scientist will work independently, but in close cooperation and...",Nothing_found,"CEDARS-SINAI Los Angeles, CA",57.5333333333,54.455
Postdoctoral Scientist (Retinal Degeneration),CEDARS-SINAI,"Los Angeles, CA","The incumbent may develop, adapt, and implement new research techniques and protocols and will analyze and interpret data....",Nothing_found,"CEDARS-SINAI Los Angeles, CA",39.4166666667,44.635
Postdoctoral Scientist (BFG),CEDARS-SINAI,"Los Angeles, CA","Basic bioinformatics data analysis skills for the analysis of next generation sequencing data, such as R, LINUX and programming languages (Python), pedigree...",Nothing_found,"CEDARS-SINAI Los Angeles, CA",0.0,0.0
Postdoctoral Scientist (Flow Cytometry),CEDARS-SINAI,"Los Angeles, CA",Analyzes and interprets data. The Flow Cytometry Core of Cedars-Sinai looking for a Postdoctoral Scientist to join its team....,Nothing_found,"CEDARS-SINAI Los Angeles, CA",57.5333333333,54.455
Post Doctoral Scientist,CEDARS-SINAI,"Los Angeles, CA","Analyzes and interprets data. The center has currently 4 faculty, 5 staff engaged in a wide range of statistical and bioinformatics research and collaborations...",Nothing_found,"CEDARS-SINAI Los Angeles, CA",56.1833333333,75.218
Staff Scientist,California Institute of Technology,"Pasadena, CA 91125",The Education Outreach Scientist serves as a scientific expert and participant in product and program development....,Nothing_found,"California Institute of Technology Pasadena, CA 91125",99.5333333333,115.225
Intern - Environmental Planning - Pasadena,Parsons Corporation,"Pasadena, CA 91124","Researches and gathers statistics and related data for periodic and/or special one-time reports. Currently enrolled in an Environmental or Urban Planning,...",Nothing_found,"Parsons Corporation Pasadena, CA 91124",0.0,0.0
Sr Analyst National Market Research,Kaiser Permanente,"Burbank, CA","Some knowledge of data analysis software. Perform simple to moderately complex data analysis and manages & constructs databases (running cross tab analysis,...",Nothing_found,"Kaiser Permanente Burbank, CA",31.8666666667,27.993
Statistician I,Public Health Institute,"Monrovia, CA 91016","Computerized Data Management-Manipulate data records from a database management system, using appropriate data management computer software, to produce...",Nothing_found,"Public Health Institute Monrovia, CA 91016",99.7166666667,118.588
"Lead Data Scientist, Marketing (Aftershock)",Twentieth Century Fox,"Los Angeles, CA","The Lead Data Scientist, Marketing is responsible for the design and management of FoxNext Games’ marketing optimization platform, which guides our media buying...",Nothing_found,"Twentieth Century Fox Los Angeles, CA",99.7166666667,118.588
Device Design Scientist,Emcore,"Alhambra, CA 91803",Device modeling and simulation as well as data analysis. EMCORE Corporation is seeking to fill the position of Device Design Scientist at our Wafer Fab facility...,Nothing_found,"Emcore Alhambra, CA 91803",99.7166666667,118.588
Senior Data Scientist,LT,"Los Angeles, CA",The ideal candidate for this Senior Data Scientist position will have 5 years of experience working as a Data Scientist in an engineering company....,Nothing_found,"LT Los Angeles, CA",37.05,41.232
